;lard/csv/lardSpecimen_RawData_6.csv;lard/csv/lardSpecimen_RawData_3.csv;lard/csv/lardSpecimen_RawData_1.csv;lard/csv/lardSpecimen_RawData_5.csv;lard/csv/lardSpecimen_RawData_9.csv;lard/csv/lardSpecimen_RawData_7.csv;lard/csv/lardSpecimen_RawData_4.csv;lard/csv/lardSpecimen_RawData_8.csv;lard/csv/lardSpecimen_RawData_10.csv;lard/csv/lardSpecimen_RawData_2.csv
-1.33;0.00629;-0.00358;-0.00204;0.00321;0.02567;-0.01195;0.00049;0.02231;0.03793;0.02367
-1.3200000000000003;0.00861;-0.0076;-0.00422;0.0098;0.01607;-0.0118;-0.00297;0.02745;0.03588;0.01626
-1.3100000000000005;0.009595;-0.01114;-0.00311;0.00875;0.01572;-0.00287;-0.00473;0.03208;0.03106;-0.00043
-1.3099999999999987;0.01058;-0.012580000000000001;0.00241;0.007185;0.015336250000000001;0.0005300000000000001;-0.0015899999999999998;0.031164999999999998;0.03025;-0.0034449999999999997
-1.3000000000000007;0.010423333333333335;-0.01402;0.00793;0.00562;0.0149525;0.00393;0.00155;0.03025;0.02944;-0.00646
-1.2999999999999998;0.010266666666666667;-0.0141;0.00838;0.002875;0.01456875;0.00562;0.0036474999999999997;0.02756;0.030085;-0.0076725000000000005
-1.2999999999999996;0.010110000000000001;-0.01418;0.008830000000000001;0.00196;0.014185;0.006183333333333333;0.005745;0.026663333333333334;0.0303;-0.008885
-1.299999999999999;0.00964;-0.01426;0.00928;0.001045;0.01265;0.0067466666666666664;0.007842499999999999;0.025766666666666667;0.030515;-0.0100975
-1.290000000000001;0.008535;-0.01434;0.00973;0.00013;0.014165;0.00731;0.00994;0.02487;0.03073;-0.01131
-1.2899999999999991;0.00743;-0.017055;0.01016;0.000885;0.01568;0.009293333333333332;0.014585;0.026275;0.028373333333333334;-0.009536666666666667
-1.2800000000000011;0.007605;-0.01977;0.01059;0.00164;0.016585;0.011276666666666666;0.01923;0.02768;0.026016666666666667;-0.007763333333333334
-1.2799999999999994;0.00778;-0.020929999999999997;0.01102;0.001425;0.01749;0.01326;0.02041;0.027630000000000002;0.02366;-0.00599
-1.2700000000000014;0.0066;-0.02209;0.010585;0.00121;0.01915;0.013975;0.02159;0.02758;0.023755;-0.00145
