;lard/csv/lard Specimen_RawData_4.csv;lard/csv/lard Specimen_RawData_5.csv;lard/csv/lard Specimen_RawData_1.csv;lard/csv/lard Specimen_RawData_6.csv;lard/csv/lard Specimen_RawData_3.csv;lard/csv/lard Specimen_RawData_2.csv
-21.99999999999995;0.005528;0.008490000000000001;-0.002672;0.033626;-0.007769999999999999;0.0028775
-21.9;0.004830999999999999;0.007917500000000001;-0.0024929999999999996;0.034458;-0.00794;0.00699
-21.89999999999998;0.004134;0.007345000000000001;-0.0023139999999999997;0.03529;-0.00811;0.00682875
-21.899999999999967;0.0034369999999999995;0.006772500000000001;-0.0021349999999999997;0.03633;-0.00828;0.0066675
-21.89999999999996;0.0027399999999999994;0.005818333333333334;-0.0018366666666666666;0.03737;-0.00845;0.00650625
-21.89999999999995;0.0020429999999999992;0.004864166666666667;-0.0015383333333333334;0.03841;-0.008875;0.006345
-21.8;0.0013459999999999993;0.00391;-0.00124;0.03945;-0.0093;0.006216
-21.79999999999998;0.0006489999999999994;0.00404125;-0.00248125;0.029965;-0.008716666666666666;0.006087
-21.799999999999965;-4.800000000000073e-05;0.0041725;-0.0037225;0.028068;-0.008133333333333333;0.005958
-21.799999999999958;-0.0007450000000000009;0.004225;-0.004219;0.026171;-0.007549999999999999;0.005829
-21.799999999999947;-0.0024875000000000006;0.0042775;-0.0047155;0.024273999999999997;-0.0072;0.0057
-21.7;-0.00423;0.00433;-0.005212;0.022376999999999998;-0.006849999999999999;0.005571
-21.699999999999978;-0.0052175;0.0043825;-0.0057085;0.020479999999999998;-0.0065;0.005442
-21.699999999999964;-0.0062050000000000004;0.004435;-0.006205;0.018583;-0.006149999999999999;0.005313
-21.699999999999957;-0.0071925;0.0044875;-0.006701499999999999;0.016686;-0.0058;0.005183999999999999
-21.699999999999946;-0.007785;0.00454;-0.0071979999999999995;0.014788999999999998;-0.00545;0.005055
-21.599999999999998;-0.0083775;0.0045925;-0.007694499999999999;0.012891999999999997;-0.0050999999999999995;0.00441
-21.599999999999977;-0.00897;0.004645;-0.008190999999999999;0.010994999999999998;-0.00475;0.00432875
-21.599999999999962;-0.009562500000000002;0.0046975;-0.008687499999999999;0.00862375;-0.004399999999999999;0.0042474999999999995
-21.599999999999955;-0.010155;0.004785;-0.009515;0.006252499999999999;-0.00405;0.00416625
-21.599999999999945;-0.0107475;0.0048725;-0.0103425;0.00388125;-0.003175;0.004085
-21.5;-0.011340000000000001;0.00496;-0.01117;0.00151;-0.0023;0.00402
-21.499999999999975;-0.0119325;0.00456625;-0.010138749999999998;0.00587;-0.0017216666666666665;0.003955
-21.49999999999996;-0.012525000000000001;0.0041725;-0.0091075;0.006742;-0.0011433333333333332;0.00389
-21.499999999999954;-0.0131175;0.004015;-0.008695;0.007614;-0.000565;0.003825
-21.499999999999943;-0.01459875;0.0038575;-0.0082825;0.008486;-0.00021799999999999999;0.00376
-21.4;-0.01608;0.0037;-0.007869999999999999;0.009358;0.000129;0.003695
-21.399999999999974;-0.014195833333333333;0.0035425;-0.007457499999999999;0.01023;0.00047599999999999986;0.00363
-21.39999999999996;-0.012311666666666667;0.003385;-0.007044999999999999;0.011102;0.000823;0.0035649999999999996
-21.399999999999952;-0.0104275;0.0032275;-0.0066324999999999995;0.011974;0.00117;0.0034999999999999996
-21.39999999999994;-0.009297;0.00307;-0.006219999999999999;0.012846000000000002;0.001517;0.0034349999999999997
-21.299999999999997;-0.0081665;0.0029125;-0.005807499999999999;0.013718000000000001;0.0018639999999999998;0.00311
-21.299999999999972;-0.007035999999999999;0.002755;-0.005394999999999999;0.014590000000000002;0.002211;0.004066874999999999
-21.299999999999958;-0.005905499999999999;0.0025975;-0.004982499999999999;0.015680000000000003;0.0025579999999999995;0.00502375
-21.29999999999995;-0.004775;0.002400625;-0.0044668749999999995;0.01677;0.0029049999999999996;0.005980625
