;6perc/csv/6p_liquidSpecimen_RawData_4.csv;6perc/csv/6p_liquidSpecimen_RawData_7.csv;6perc/csv/6p_liquidSpecimen_RawData_9.csv;6perc/csv/6p_liquidSpecimen_RawData_8.csv;6perc/csv/6p_liquidSpecimen_RawData_3.csv;6perc/csv/6p_liquidSpecimen_RawData_1.csv;6perc/csv/6p_liquidSpecimen_RawData_6.csv;6perc/csv/6p_liquidSpecimen_RawData_2.csv;6perc/csv/6p_liquidSpecimen_RawData_5.csv;6perc/csv/6p_liquidSpecimen_RawData_10.csv
0.40000000000000036;0.3932988888888889;0.4164711111111111;0.42664555555555556;0.40386380555555557;0.380749;0.3618888888888889;0.39383;0.37040999999999996;0.3783777777777778;0.42927099999999996
0.4000000000000019;0.39042166666666667;0.41284708333333336;0.42549841666666666;0.40599661111111107;0.38012788636363637;0.3635594166666667;0.39543225000000004;0.36969474999999996;0.38119958333333337;0.4278402954545454
0.40000000000000213;0.38754444444444447;0.4092230555555556;0.4243512777777778;0.40812941666666663;0.37950677272727273;0.36522994444444445;0.3970345;0.3689795;0.3840213888888889;0.42640959090909086
0.5;0.38178999999999996;0.401975;0.422057;0.4102622222222222;0.37826454545454546;0.36857100000000004;0.400239;0.367549;0.38966500000000004;0.42354818181818177
0.500000000000002;0.3826406818181818;0.4021773863636364;0.42338570454545454;0.41435211111111114;0.3805126590909091;0.36923234090909096;0.39920175;0.36948061363636364;0.38817920454545457;0.42508488636363634
0.5000000000000022;0.3834913636363636;0.40237977272727277;0.4247144090909091;0.4163970555555556;0.3827607727272727;0.36989368181818183;0.39816450000000003;0.37141222727272727;0.3866934090909091;0.4266215909090909
0.5999999999999996;0.3851927272727273;0.40278454545454545;0.4273718181818182;0.41844200000000004;0.387257;0.3712163636363636;0.39609;0.3752754545454545;0.3837218181818182;0.429695
0.6000000000000021;0.3880287954545455;0.40263265909090906;0.4243583636363636;0.4173005454545455;0.38363552777777776;0.36740377272727276;0.3978935;0.37390434090909086;0.38755036363636364;0.43073097222222223
0.6000000000000023;0.39086486363636364;0.40248077272727273;0.42134490909090905;0.4167298181818182;0.38001405555555556;0.36359118181818184;0.39969699999999997;0.37253322727272725;0.3913789090909091;0.4317669444444444
0.6999999999999993;0.39653700000000003;0.402177;0.41531799999999996;0.4161590909090909;0.3727711111111111;0.355966;0.403304;0.369791;0.399036;0.4338388888888889
0.7000000000000022;0.39207080555555557;0.40151247222222225;0.4158576666666667;0.41075654545454543;0.37295883333333335;0.3585792222222222;0.40328994444444444;0.3677335277777778;0.39734394444444443;0.43204241666666665
0.7000000000000024;0.3876046111111111;0.4008479444444445;0.41639733333333334;0.4080552727272727;0.37314655555555554;0.3611924444444444;0.4032758888888889;0.36567605555555555;0.3956518888888889;0.4302459444444445
0.7999999999999989;0.3786722222222222;0.3995188888888889;0.4174766666666667;0.405354;0.3733342777777778;0.36641888888888885;0.4032477777777778;0.3615611111111111;0.39226777777777777;0.4284494722222223
0.8000000000000007;0.37866651851851846;0.40176090740740744;0.41740872222222225;0.40456994444444444;0.373522;0.3674609074074074;0.3995471481481482;0.36386775925925924;0.3945779814814815;0.42665300000000006
0.8000000000000023;0.3786608148148148;0.40400292592592596;0.41734077777777784;0.4037858888888889;0.37660875000000005;0.3685029259259259;0.39584651851851854;0.3661744074074074;0.39688818518518515;0.42734300000000003
0.8000000000000025;0.37865511111111105;0.4062449444444445;0.41727283333333337;0.40300183333333334;0.3796955;0.3695449444444444;0.3921458888888889;0.36848105555555555;0.39919838888888887;0.428033
0.8999999999999986;0.3786465555555555;0.4096079722222222;0.4171709166666667;0.4022177777777778;0.38278225;0.3711079722222222;0.3865949444444445;0.37194102777777777;0.4026636944444444;0.42872299999999997
0.9000000000000004;0.378638;0.41297100000000003;0.417069;0.40364958333333334;0.385869;0.372671;0.38104400000000005;0.375401;0.40612899999999996;0.429413
0.9000000000000024;0.3780445;0.41025625;0.41904875;0.4050813888888889;0.3841378863636364;0.36758399999999997;0.3850365;0.37487925;0.40226975;0.43200520454545455
0.9000000000000026;0.377451;0.4075415;0.4210285;0.40651319444444445;0.38240677272727275;0.36249699999999996;0.389029;0.3743575;0.3984105;0.4345974090909091
1.0;0.37626400000000004;0.40211199999999997;0.42498800000000003;0.40794499999999995;0.3789445454545454;0.352323;0.397014;0.37331400000000003;0.390692;0.4397818181818182
1.0000000000000024;0.37743800000000005;0.4033910454545454;0.4253628181818182;0.41277049999999993;0.3788966590909091;0.35625384090909096;0.39596254545454546;0.37204118181818185;0.3917980909090909;0.43808461363636364
1.0000000000000027;0.378612;0.4046700909090909;0.4257376363636364;0.41518324999999995;0.3788487727272727;0.36018468181818186;0.39491109090909093;0.3707683636363637;0.3929041818181818;0.4363874090909091
1.0999999999999996;0.38095999999999997;0.4072281818181818;0.42648727272727266;0.41759599999999997;0.378753;0.36804636363636367;0.39280818181818183;0.36822272727272726;0.39511636363636365;0.432993
1.1000000000000025;0.38174725;0.40546738636363633;0.42454695454545455;0.40714527272727274;0.3764555;0.36870202272727276;0.3944423863636364;0.3697237954545455;0.39658527272727273;0.42923775
1.1000000000000028;0.3825345;0.4037065909090909;0.4226066363636364;0.40191990909090913;0.374158;0.36935768181818185;0.3960765909090909;0.37122486363636364;0.39805418181818186;0.4254825
1.1999999999999993;0.384109;0.400185;0.41872600000000004;0.39669454545454547;0.369563;0.370669;0.399345;0.374227;0.400992;0.41797199999999995
1.2000000000000026;0.38264025;0.39994875;0.41856125000000005;0.40492177272727276;0.36786336111111106;0.37060925;0.39625374999999996;0.37278825;0.400669;0.42089427777777777
1.2000000000000028;0.3811715;0.3997125;0.41839650000000006;0.4090353863636364;0.3661637222222222;0.3705495;0.39316249999999997;0.3713495;0.400346;0.42381655555555553
1.299999999999999;0.378234;0.39924;0.418067;0.41314900000000004;0.36446408333333336;0.37043;0.38698;0.368472;0.3997;0.4267388333333333
1.3000000000000007;0.38244796296296296;0.39922574074074074;0.4185526851851852;0.41242750000000006;0.36276444444444444;0.3704351851851852;0.3871483333333333;0.36939500000000003;0.39823925925925924;0.4296611111111111
1.3000000000000027;0.38666192592592596;0.39921148148148144;0.4190383703703704;0.411706;0.3651878333333333;0.37044037037037036;0.38731666666666664;0.37031800000000004;0.39677851851851853;0.45282658333333337
1.300000000000003;0.3908758888888889;0.3991972222222222;0.41952405555555555;0.4109845;0.3676112222222222;0.3704455555555556;0.38748499999999997;0.37124100000000004;0.39531777777777777;0.47599205555555557
1.3999999999999986;0.39719683333333333;0.3991758333333333;0.4202525833333333;0.41026299999999993;0.37003461111111113;0.37045333333333336;0.38773749999999996;0.37262550000000005;0.3931266666666666;0.4991575277777778
1.4000000000000004;0.4035177777777778;0.3991544444444444;0.4209811111111111;0.41140586111111105;0.372458;0.37046111111111113;0.38799;0.37401;0.39093555555555554;0.522323
1.4000000000000028;0.42202883333333335;0.40146208333333333;0.42300133333333334;0.41254872222222216;0.3801523636363636;0.3697878333333333;0.39041725;0.3728095;0.3891781666666666;0.5686420227272727
1.400000000000003;0.4405398888888889;0.4037697222222222;0.42502155555555554;0.41369158333333333;0.3878467272727273;0.36911455555555556;0.3928445;0.371609;0.3874207777777777;0.6149610454545454
1.5;0.477562;0.408385;0.42906200000000005;0.41483444444444445;0.40323545454545456;0.367768;0.39769899999999997;0.36920800000000004;0.38390599999999997;0.7075990909090909
