	8perc/csv/8percA Specimen_RawData_1.csv	8perc/csv/8percA Specimen_RawData_2.csv	8perc/csv/8percA Specimen_RawData_3.csv	8perc/csv/8percA Specimen_RawData_4.csv	8perc/csv/8percA Specimen_RawData_5.csv	8perc/csv/8percA Specimen_RawData_6.csv	8perc/csv/8percB Specimen_RawData_1.csv	8perc/csv/8percB Specimen_RawData_2.csv	8perc/csv/8percB Specimen_RawData_3.csv	8perc/csv/8percB Specimen_RawData_4.csv	8perc/csv/8percB Specimen_RawData_5.csv	8perc/csv/8percB Specimen_RawData_6.csv
35.599999999999994	6.78912	7.17893		7.08171					6.49273	7.21671		6.69999
35.7	6.79157	7.19411		7.08052		6.64984			6.53522	7.23153		6.71294
35.8	6.82942	7.23452		7.12031		6.68186			6.52886	7.23545		6.72689
35.89999999999999	6.85535	7.24967		7.1101					6.54063			6.72604
36.0	6.90223	7.27816		7.14143		6.71938			6.53732	7.2885		6.76143
36.099999999999994	6.92755	7.30419		7.16157					6.57109	7.30893		6.75503
36.2	6.94116	7.35969		7.16579		6.7502			6.62453	7.34979		6.78148
36.3	6.9611	7.37098		7.2045		6.79141			6.62355	7.39116		6.785
36.39999999999999	6.97476	7.39791		7.23441					6.65419			6.82351
36.5	6.9876	7.42269		7.23718		6.83978			6.71135	7.45104		6.83335
36.599999999999994	7.03936	7.42535		7.26108					6.74857	7.48511		6.8816
36.7	7.05243	7.45562		7.30611		6.90096			6.76567	7.51144		6.90776
36.8	7.10742	7.47513		7.37959		6.93476			6.78771	7.55175		6.9594
36.89999999999999	7.13602	7.50204		7.41463					6.812			7.00145
37.0	7.19854	7.54589		7.44299		7.01262			6.86233	7.61823		7.04824
37.099999999999994	7.24628	7.54538		7.50279					6.89012	7.63537		7.09565
37.2	7.32282	7.57475		7.55615		7.08592			6.94219	7.67425		7.15052
37.3	7.40628	7.57486		7.60647		7.18458			7.01887	7.73252		7.20317
37.39999999999999	7.45989	7.59568		7.66108					7.03451			7.27179
37.5	7.53919	7.59877		7.73005		7.32439			7.08731	7.79177		7.32957
37.599999999999994	7.56669	7.6574		7.76505					7.13088	7.85918		7.37481
37.7	7.67662	7.67731		7.83202		7.48536			7.14471	7.88259		7.4582
37.8	7.71587	7.6774		7.86175		7.54338			7.1757	7.95434		7.48654
37.89999999999999	7.7752	7.71726		7.90958					7.2459			7.55287
38.0	7.86394	7.77432		7.96828		7.67593			7.29903	8.06748		7.62782
38.099999999999994	7.92147	7.78035		7.9966					7.34828	8.13161		7.6717
38.2	8.00072	7.81722		8.05825		7.79164			7.39314	8.17264		7.73226
38.3	8.06472	7.85042		8.10726		7.86449			7.45161	8.22768		7.7798
38.39999999999999	8.12653	7.8906		8.16071					7.48231			7.81642
38.5	8.20223	7.91079		8.24156		7.99825			7.48206	8.31567		7.9194
38.599999999999994	8.26236	7.97073		8.29669					7.26198	8.39507		8.00834
38.7	8.30837	8.01028		8.36439		8.10001			7.51349	8.44983		8.07443
38.8	8.38163	8.06328		8.39097		8.15874			7.62696	8.50153		8.17018
38.89999999999999	8.45782	8.10818		8.45834					7.73215			8.21527
