;6perc/csv/6p_freezSpecimen_RawData_2.csv;6perc/csv/6p_freezSpecimen_RawData_7.csv;6perc/csv/6p_freezSpecimen_RawData_4.csv;6perc/csv/6p_freezSpecimen_RawData_3.csv;6perc/csv/6p_freezSpecimen_RawData_5.csv;6perc/csv/6p_freezSpecimen_RawData_6.csv;6perc/csv/6p_freezSpecimen_RawData_1.csv
-0.3999999999999988;0.015609924242424243;0.015480353535353535;0.00985068181818182;0.010658535353535354;0.00930401515151515;0.020596136363636365;0.006392651515151514
-0.3999999999999986;0.015468737373737374;0.014674621212121212;0.010491363636363637;0.008038712121212122;0.011340252525252524;0.018532272727272727;0.009117525252525252
-0.3000000000000007;0.015186363636363637;0.013868888888888889;0.011772727272727273;0.005418888888888889;0.015412727272727272;0.014404545454545455;0.014567272727272727
-0.2999999999999987;0.01271449494949495;0.015341717171717173;0.012613434343434343;0.008285808080808081;0.01635260101010101;0.013482020202020202;0.012513787878787878
-0.2999999999999985;0.010242626262626262;0.016078131313131315;0.013454141414141415;0.009719267676767677;0.017292474747474747;0.012559494949494949;0.01046030303030303
-0.20000000000000107;0.0052988888888888894;0.016814545454545457;0.015135555555555557;0.011152727272727272;0.019172222222222222;0.010714444444444445;0.006353333333333333
-0.19999999999999862;0.006223666666666667;0.017066717171717174;0.012975666666666667;0.014098030303030303;0.020048416666666666;0.012168333333333333;0.005045249999999999
-0.1999999999999984;0.007148444444444445;0.01719280303030303;0.010815777777777778;0.015570681818181819;0.02092461111111111;0.013622222222222223;0.0037371666666666664
-0.10000000000000142;0.008073222222222223;0.01731888888888889;0.00865588888888889;0.017043333333333334;0.021800805555555552;0.015076111111111111;0.0024290833333333334
-0.09999999999999964;0.008998;0.018607666666666668;0.006496;0.015796;0.022677;0.01653;0.001121
-0.09999999999999853;0.00859418181818182;0.019896444444444446;0.009161318181818184;0.014548666666666668;0.024293204545454545;0.015424318181818181;0.0008082499999999999
-0.09999999999999831;0.008190363636363638;0.021185222222222223;0.011826636363636366;0.013301333333333335;0.02590940909090909;0.014318636363636363;0.0004955
0.0;0.0073827272727272734;0.022474;0.01715727272727273;0.012054;0.029141818181818182;0.012107272727272727;-0.00013000000000000018
1.5543122344752192e-15;0.007236795454545455;0.023977;0.02047070454545455;0.011286090909090909;0.025715363636363637;0.013922704545454545;0.0022359999999999997
1.7763568394002505e-15;0.0070908636363636365;0.0247285;0.023784136363636365;0.010902136363636364;0.022288909090909092;0.015738136363636364;0.004602
0.09999999999999964;0.0067989999999999995;0.02548;0.030411;0.010518181818181817;0.015436;0.019369;0.009334
0.10000000000000164;0.00835875;0.023388;0.0259865;0.010823090909090909;0.018522999999999998;0.019243000000000003;0.011082250000000002
0.10000000000000187;0.0099185;0.022342;0.021561999999999998;0.010975545454545455;0.021609999999999997;0.019117000000000002;0.012830500000000002
0.1999999999999993;0.013038;0.021296000000000002;0.012712999999999999;0.011128;0.027783999999999996;0.018865;0.016327
0.20000000000000173;0.01404725;0.017699;0.01244025;0.0071625000000000005;0.025741499999999997;0.01835075;0.014378250000000002
0.20000000000000195;0.0150565;0.015900499999999998;0.0121675;0.00517975;0.023698999999999998;0.017836499999999998;0.012429500000000001
0.29999999999999893;0.017075;0.014102;0.011622;0.0031969999999999998;0.019614;0.016808;0.008532000000000001
0.3000000000000018;0.017112361111111113;0.014971;0.013567333333333334;0.011210000000000001;0.02141438888888889;0.017604611111111113;0.010108722222222224
0.30000000000000204;0.017149722222222222;0.015405499999999999;0.015512666666666668;0.0152165;0.02321477777777778;0.01840122222222222;0.011685444444444446
0.3999999999999986;0.017187083333333332;0.01584;0.017458;0.019223;0.025015166666666665;0.01919783333333333;0.013262166666666669
0.40000000000000036;0.017224444444444445;0.01653638888888889;0.019403333333333335;0.018024472222222223;0.026815555555555554;0.019994444444444443;0.01483888888888889
0.4000000000000019;0.016173333333333335;0.017232777777777777;0.015273750000000001;0.016825944444444445;0.024557666666666665;0.020193833333333334;0.011967416666666668
0.40000000000000213;0.015122222222222223;0.017929166666666666;0.011144166666666667;0.015627416666666668;0.02229977777777778;0.020393222222222222;0.009095944444444445
0.5;0.01302;0.018625555555555555;0.002885;0.014428888888888889;0.017784;0.020791999999999998;0.0033529999999999996
0.500000000000002;0.014497045454545455;0.019282777777777777;0.0036401136363636366;0.014362944444444444;0.01830277272727273;0.017746954545454545;0.007542704545454545
0.5000000000000022;0.01597409090909091;0.019611388888888887;0.004395227272727273;0.014329972222222221;0.018821545454545455;0.014701909090909088;0.01173240909090909
0.5999999999999996;0.01892818181818182;0.01994;0.005905454545454546;0.014296999999999999;0.01985909090909091;0.00861181818181818;0.02011181818181818
0.6000000000000021;0.017386886363636365;0.018858181818181816;0.00828309090909091;0.008813499999999998;0.01982656818181818;0.012792363636363636;0.02029436363636363
0.6000000000000023;0.01584559090909091;0.018317272727272724;0.010660727272727273;0.006071749999999999;0.019794045454545453;0.016972909090909094;0.020476909090909087
0.6999999999999993;0.012763;0.017776363636363635;0.015416;0.0033299999999999996;0.019729;0.025334000000000002;0.020842
0.7000000000000022;0.012523916666666666;0.01659918181818182;0.014898666666666666;0.0030724999999999997;0.018749250000000002;0.021434111111111112;0.017634277777777776
0.7000000000000024;0.012284833333333333;0.01601059090909091;0.014381333333333333;0.00294375;0.0177695;0.017534222222222222;0.014426555555555555
0.7999999999999989;0.011806666666666667;0.015422;0.013346666666666666;0.0028150000000000002;0.01581;0.009734444444444443;0.008011111111111111
0.8000000000000023;0.009527;0.01676711111111111;0.0122425;0.0090875;0.01511475;0.01270333333333333;0.008804583333333334
0.8000000000000025;0.007247333333333333;0.017439666666666666;0.011138333333333333;0.01222375;0.0144195;0.01567222222222222;0.009598055555555556
0.8999999999999986;0.004967666666666667;0.018112222222222224;0.010034166666666667;0.01536;0.01372425;0.01864111111111111;0.010391527777777777
0.9000000000000004;0.0026880000000000003;0.017447666666666667;0.00893;0.013247;0.013028999999999999;0.021609999999999997;0.011185
0.9000000000000024;0.00797225;0.016783111111111113;0.00984425;0.011134;0.016156749999999998;0.02016925;0.010415250000000001
0.9000000000000026;0.013256500000000001;0.016118555555555556;0.0107585;0.009021;0.0192845;0.0187285;0.0096455
1.0;0.023825;0.015454;0.012587000000000001;0.006908;0.02554;0.015847;0.008105999999999999
1.0000000000000024;0.020260795454545455;0.0165105;0.011092522727272729;0.0033195;0.02259272727272727;0.014968431818181818;0.009746545454545454
1.0000000000000027;0.016696590909090907;0.01703875;0.009598045454545455;0.0015252500000000001;0.019645454545454546;0.014089863636363636;0.01138709090909091
1.0999999999999996;0.009568181818181818;0.017567;0.006609090909090909;-0.0002689999999999998;0.013750909090909091;0.012332727272727273;0.014668181818181818
1.1000000000000025;0.009278136363636363;0.015392590909090908;0.006868318181818182;0.005865045454545454;0.01530268181818182;0.013971545454545455;0.015368886363636362
1.1000000000000028;0.008988090909090909;0.014305386363636364;0.007127545454545454;0.008932068181818182;0.016854454545454547;0.015610363636363636;0.01606959090909091
1.1999999999999993;0.008408;0.013218181818181818;0.007646;0.011999090909090909;0.019958;0.018888;0.017471
1.2000000000000026;0.008961;0.009994590909090908;0.007523;0.012581545454545455;0.01928875;0.0179225;0.012795
1.2000000000000028;0.009514000000000002;0.008382795454545454;0.0073999999999999995;0.012872772727272727;0.0186195;0.016957;0.008119000000000001
1.299999999999999;0.010620000000000001;0.006770999999999999;0.007153999999999999;0.013164;0.017281;0.015026000000000001;-0.0012329999999999997
1.3000000000000027;0.010466111111111112;0.02667;0.010172722222222222;0.00576;0.018919083333333336;0.03582977777777778;-6.697222222222174e-05
1.300000000000003;0.010312222222222223;0.0366195;0.013191444444444443;0.002058;0.020557166666666668;0.05663355555555556;0.0010990555555555562
1.3999999999999986;0.010158333333333333;0.046569;0.016210166666666664;-0.001644;0.02219525;0.07743733333333333;0.0022650833333333342
1.4000000000000004;0.010004444444444444;0.06884480555555555;0.01922888888888889;7.033333333333327e-05;0.02383333333333333;0.09824111111111111;0.0034311111111111118
