;lard/csv/oilSpecimen_RawData_1.csv;lard/csv/oilSpecimen_RawData_4.csv;lard/csv/oilSpecimen_RawData_8.csv;lard/csv/oilSpecimen_RawData_5.csv;lard/csv/oilSpecimen_RawData_3.csv;lard/csv/oilSpecimen_RawData_9.csv;lard/csv/oilSpecimen_RawData_6.csv;lard/csv/oilSpecimen_RawData_7.csv;lard/csv/oilSpecimen_RawData_2.csv;lard/csv/oilSpecimen_RawData_10.csv
-1.7899999999999991;0.42507;0.45398;0.487;0.46870500000000004;0.45499666666666666;0.48951500000000003;0.48191666666666666;0.48248;0.43648666666666663;0.49687
-1.7800000000000011;0.42171000000000003;0.455105;0.491;0.46455;0.4542833333333333;0.48805;0.48464333333333337;0.48304;0.43848333333333334;0.49781
-1.7799999999999994;0.41835;0.45623;0.49205;0.462545;0.45357;0.48834500000000003;0.48737;0.4836;0.44048;0.49875
-1.7700000000000014;0.42256;0.456865;0.4931;0.46054;0.45147499999999996;0.48864;0.48668500000000003;0.4851;0.441965;0.497115
-1.7699999999999996;0.42677;0.4575;0.49296999999999996;0.4619533333333333;0.44938;0.48828000000000005;0.486;0.4866;0.44345;0.49548
-1.7600000000000016;0.42991999999999997;0.45660500000000004;0.49284;0.4633666666666667;0.448675;0.48792;0.485595;0.488935;0.443815;0.49405
-1.7599999999999998;0.43307;0.45571;0.49271;0.46478;0.44797;0.48897;0.48519;0.49127;0.44418;0.49262
-1.75;0.43698;0.45894;0.49643;0.47616;0.44911;0.49002;0.48185;0.49389;0.44639;0.49688
-1.7400000000000002;0.43659;0.46138;0.49671;0.48517;0.44633;0.48907;0.47863;0.49806;0.44921;0.499
-1.7300000000000004;0.435995;0.461185;0.49037;0.48475;0.44896;0.48309;0.47572;0.49566;0.45444;0.49941
-1.7299999999999986;0.4354;0.46099;0.48878999999999995;0.48014;0.45252000000000003;0.48191;0.47284;0.49338;0.45615;0.49982
-1.7200000000000006;0.43195;0.459405;0.48721;0.47553;0.45608;0.48073;0.46996;0.4911;0.45786;0.50038
