;8perc/csv/8percB Specimen_RawData_5.csv;8perc/csv/8percA Specimen_RawData_4.csv;8perc/csv/8percB Specimen_RawData_4.csv;8perc/csv/8percB Specimen_RawData_1.csv;8perc/csv/8percA Specimen_RawData_6.csv;8perc/csv/8percB Specimen_RawData_2.csv;8perc/csv/8percA Specimen_RawData_3.csv;8perc/csv/8percB Specimen_RawData_6.csv;8perc/csv/8percA Specimen_RawData_5.csv;8perc/csv/8percA Specimen_RawData_2.csv;8perc/csv/8percB Specimen_RawData_3.csv;8perc/csv/8percA Specimen_RawData_1.csv
-0.5999999999999996;0.467351;0.4258275;0.482439;;0.43438266666666664;0.44670333333333334;0.42535666666666666;0.4397575;;;;0.40198
-0.5999999999999994;0.46838;0.42583375;0.4822855;;0.43593733333333334;0.44767;0.42454000000000003;0.43756875;;;;0.402535
-0.5999999999999979;0.469409;0.42584;0.482132;0.4409;0.437492;0.4486366666666667;0.42372333333333334;0.43538;0.43252;;;0.40309
-0.5000000000000001;0.470438;0.42287;0.4819785;0.44088375;0.43904666666666664;0.44960333333333335;0.42290666666666665;0.4452433333333333;0.42989;;;0.39765333333333336
-0.5;0.47146699999999997;0.42227600000000004;0.481825;0.4408675;0.44099;0.45057;0.42209;0.447216;0.42726000000000003;;;0.39656600000000003
-0.49999999999999956;0.47249599999999997;0.421682;0.48167150000000003;0.440861;0.4429333333333333;0.45178250000000003;0.4226975;0.4491886666666667;0.42620800000000003;;;0.3954786666666667
-0.49999999999999933;0.473525;0.421088;0.481518;0.4408545;0.44487666666666664;0.452025;0.422819;0.4511613333333333;0.42515600000000003;;;0.3943913333333333
-0.40000000000000213;0.47867;0.420494;0.48136450000000003;0.440848;0.44682;0.45226750000000004;0.4229405;0.453134;0.42410400000000004;;;0.393304
-0.40000000000000013;0.47843874999999997;0.4199;0.481211;0.4408415;0.44105;0.45251;0.42306200000000005;0.45510666666666666;0.42305200000000004;;;0.39221666666666666
-0.4;0.4782075;0.419306;0.4810575;0.440835;0.4400883333333333;0.45275250000000006;0.42318350000000005;0.45707933333333334;0.42200000000000004;;;0.39112933333333333
-0.39999999999999947;0.47797625;0.41871200000000003;0.4808016666666667;0.44082958333333333;0.43912666666666667;0.45299500000000004;0.42330500000000004;0.459052;0.42112333333333335;;;0.390042
-0.39999999999999925;0.477745;0.418118;0.48054583333333334;0.44082416666666663;0.438165;0.45319708333333336;0.42340625000000004;0.46102466666666664;0.4202466666666667;;;0.38895466666666667
-0.3999999999999986;0.4775908333333333;0.417524;0.48029;0.44081875;0.43720333333333333;0.4533991666666667;0.42350750000000004;0.4629973333333333;0.41937;;;0.38786733333333334
-0.3000000000000007;0.4774366666666667;0.41693;0.4785055555555556;0.44081333333333333;0.43624166666666664;0.45360125;0.42360875000000003;0.46497;0.41849333333333333;;;0.38678
-0.30000000000000016;0.4772825;0.41906000000000004;0.4767211111111111;0.44080791666666663;0.43528;0.45380333333333334;0.42371000000000003;0.466652;0.4176166666666667;;;0.389588
-0.30000000000000004;0.4771283333333333;0.419486;0.4749366666666667;0.4408025;0.434126;0.45400541666666666;0.42381125000000003;0.4669884;0.41674;;;0.3901496
-0.2999999999999994;0.4769741666666667;0.419912;0.473866;0.44079166666666664;0.432972;0.4542075;0.4239125;0.46732480000000004;0.41498666666666667;;;0.3907112
-0.29999999999999916;0.47682;0.42033800000000004;0.47279533333333335;0.44078083333333334;0.431818;0.45444999999999997;0.424034;0.4676612;0.41323333333333334;;;0.39127280000000003
-0.29999999999999716;0.47663500000000003;0.420764;0.4717246666666666;0.44077;0.430664;0.4546925;0.4241555;0.4679976;0.41148;;;0.3918344
-0.20000000000000018;0.47645000000000004;0.42119;0.47065399999999996;0.44227875;0.42951;0.454935;0.424277;0.46833400000000003;0.41325;;;0.392396
-0.20000000000000007;0.476265;0.421616;0.4695833333333333;0.4437875;0.4280675;0.4551775;0.4243985;0.46867040000000004;0.41502;;;0.3929576
-0.1999999999999993;0.47608;0.42204200000000003;0.4677988888888889;0.444391;0.42662500000000003;0.45542;0.42452;0.4690068;0.415728;;;0.3935192
-0.19999999999999907;0.475895;0.422468;0.4660144444444444;0.4449945;0.4251825;0.454875;0.42502850000000003;0.4693432;0.41643600000000003;;;0.3940808
-0.10000000000000142;0.47497;0.42289400000000005;0.46423;0.445598;0.42374;0.45433;0.425537;0.4696796;0.417144;;;0.3946424
-0.1000000000000002;0.47340625000000003;0.42332000000000003;0.46541;0.44620150000000003;0.4222325;0.453785;0.4260455;0.470016;0.41785200000000006;;;0.395204
-0.10000000000000009;0.4718425;0.4238525;0.46658999999999995;0.446805;0.421855625;0.45324000000000003;0.426554;0.4704365;0.41856000000000004;;;0.395906
