;6perc/csv/6percA Specimen_RawData_3.csv;6perc/csv/6percA Specimen_RawData_4.csv;6perc/csv/6percB Specimen_RawData_3.csv;6perc/csv/6percB Specimen_RawData_6.csv;6perc/csv/6percA Specimen_RawData_2.csv;6perc/csv/6percB Specimen_RawData_4.csv;6perc/csv/6percB Specimen_RawData_2.csv;6perc/csv/6percB Specimen_RawData_5.csv;6perc/csv/6percB Specimen_RawData_1.csv;6perc/csv/6percA Specimen_RawData_6.csv;6perc/csv/6percA Specimen_RawData_1.csv;6perc/csv/6percA Specimen_RawData_5.csv
0.7000000000000017;0.3345444444444444;0.3175613333333333;0.38280916666666664;0.39609571428571433;0.3479725;0.3910475;0.3577177777777778;0.3968316666666667;0.359408;0.3210002222222222;0.31404099999999996;0.33082875
0.700000000000002;0.33516416666666665;0.3176906666666667;0.3822672222222222;0.3963285714285715;0.34754;0.390515;0.35736055555555557;0.39702125;0.36108866666666667;0.3212093333333333;0.314478;0.33102187499999997
0.7000000000000024;0.3357838888888889;0.31782;0.38172527777777776;0.39656142857142856;0.347194;0.3899825;0.35700333333333334;0.39721083333333335;0.36276933333333333;0.3214184444444444;0.3148276;0.331215
0.7000000000000028;0.33640361111111106;0.3179493333333333;0.3811833333333333;0.3967942857142857;0.346848;0.38945;0.3566461111111111;0.39740041666666664;0.36445;0.32162755555555556;0.3151772;0.3319875
0.7999999999999972;0.3370233333333333;0.3180786666666667;0.3806413888888889;0.39702714285714286;0.34650200000000003;0.38891749999999997;0.35628888888888893;0.39759;0.3633523809523809;0.32183666666666666;0.3155268;0.33276
0.7999999999999996;0.3376430555555555;0.318208;0.38009944444444443;0.39726;0.346156;0.388385;0.3559316666666667;0.398144;0.3622547619047619;0.32204577777777776;0.3158764;0.3326934375
0.7999999999999997;0.33826277777777775;0.3183244;0.3795575;0.3976675;0.34581;0.3878525;0.35557444444444447;0.3981994;0.36115714285714284;0.32225488888888887;0.316226;0.332626875
0.7999999999999998;0.3388825;0.31844079999999997;0.37793166666666667;0.398075;0.345464;0.386255;0.35521722222222224;0.3982548;0.36005952380952383;0.322464;0.31657559999999996;0.3325603125
0.8;0.34167125;0.3185572;0.37630583333333334;0.3984825;0.345118;0.3846575;0.35486;0.3983102;0.35896190476190476;0.32269925;0.31692519999999996;0.33249375000000003
0.8000000000000007;0.34446;0.3186736;0.37468;0.39889;0.344772;0.38306;0.3545027777777778;0.3983656;0.35786428571428575;0.3229345;0.31727479999999997;0.3324271875
0.8000000000000018;0.3438088888888889;0.31879;0.374805;0.398488;0.344426;0.3827689285714286;0.35414555555555555;0.398421;0.3567666666666667;0.32316975;0.3176244;0.332360625
0.800000000000002;0.3431577777777778;0.3189064;0.37493000000000004;0.398086;0.34408;0.38247785714285715;0.3537883333333333;0.3984764;0.35580625;0.323405;0.317974;0.3322940625
0.8000000000000025;0.3425066666666666;0.3190228;0.375055;0.39768400000000004;0.34235;0.3821867857142857;0.3534311111111111;0.3985318;0.3548458333333333;0.32364025;0.31972199999999995;0.3322275
0.8000000000000043;0.3418555555555555;0.3191392;0.37518;0.397282;0.34062;0.38189571428571434;0.3530738888888889;0.3985872;0.3538854166666667;0.3238755;0.32147;0.3321609375
0.8999999999999995;0.3412044444444444;0.3192556;0.375305;0.39688;0.34012777777777775;0.3816046428571429;0.3527166666666667;0.3986426;0.352925;0.32411075;0.3198961111111111;0.332094375
0.8999999999999997;0.3405533333333333;0.319372;0.37543000000000004;0.39659285714285714;0.3396355555555555;0.3813135714285715;0.35235944444444445;0.398698;0.3519645833333333;0.324346;0.31832222222222223;0.3320278125
0.8999999999999998;0.3399022222222222;0.319566;0.375555;0.3963057142857143;0.33914333333333335;0.38102250000000004;0.3520022222222222;0.39879033333333336;0.3510041666666667;0.3246596666666667;0.3167483333333333;0.33196125
0.9000000000000001;0.3392511111111111;0.31976;0.3757008333333334;0.39601857142857144;0.3386511111111111;0.3806829166666667;0.351645;0.39888266666666666;0.35004375;0.32497333333333334;0.3151744444444444;0.33189468749999995
0.9000000000000019;0.3386;0.31995399999999996;0.3758466666666667;0.39573142857142857;0.3381588888888889;0.38034333333333337;0.35110916666666664;0.39897499999999997;0.3490833333333333;0.325287;0.31360055555555555;0.331828125
0.9000000000000021;0.33794888888888885;0.320148;0.37599250000000006;0.3954442857142857;0.33766666666666667;0.38000375000000003;0.35057333333333335;0.39906733333333333;0.3475466666666666;0.3256006666666667;0.3120266666666667;0.3317615625
0.9000000000000026;0.33729777777777775;0.320342;0.37613833333333335;0.3951571428571429;0.3372447619047619;0.3796641666666667;0.3500375;0.3991596666666667;0.34601;0.32591433333333336;0.31067761904761904;0.33169499999999996
0.9999999999999996;0.33664666666666665;0.320536;0.3762841666666667;0.39487;0.33682285714285715;0.37932458333333335;0.34950166666666665;0.399252;0.3444733333333333;0.326228;0.30932857142857145;0.33161892857142855
