;2perc/csv/2percA Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_5.csv;2perc/csv/2percB Specimen_RawData_4.csv;2perc/csv/2percA Specimen_RawData_1.csv;2perc/csv/2percB Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_1.csv;2perc/csv/2percA Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_6.csv
-1.899999999999999;-0.028491;-0.022276666666666667;-0.013195;-0.0055049999999999995;-0.013430000000000001;-0.02612;-0.02035;-0.0279775;-0.028915000000000003
-1.8999999999999986;-0.0294175;-0.022211250000000002;-0.012714583333333333;-0.005752083333333333;-0.012355;-0.02685166666666667;-0.02478;-0.02872;-0.02602
-1.8000000000000043;-0.03173375;-0.022145833333333333;-0.012234166666666666;-0.0059991666666666665;-0.01128;-0.027583333333333335;-0.02481;-0.028400625;-0.026197500000000002
-1.8000000000000007;-0.03405;-0.022080416666666665;-0.01175375;-0.00624625;-0.012753333333333334;-0.028315;-0.02484;-0.02808125;-0.026375000000000003
-1.7999999999999998;-0.032806249999999995;-0.022015;-0.011273333333333333;-0.006493333333333334;-0.014226666666666665;-0.02904666666666667;-0.02487;-0.027761875;-0.0265525
-1.7999999999999994;-0.03156249999999999;-0.0219365;-0.010792916666666666;-0.006740416666666667;-0.0157;-0.029778333333333337;-0.024900000000000002;-0.027442499999999998;-0.02673
-1.799999999999999;-0.03031875;-0.021858;-0.010312499999999999;-0.006987500000000001;-0.016583999999999998;-0.030510000000000002;-0.02493;-0.027187;-0.0269075
-1.7999999999999985;-0.029074999999999997;-0.0217795;-0.008871249999999999;-0.007358125;-0.017467999999999997;-0.032705;-0.02496;-0.0269315;-0.027085
-1.7000000000000028;-0.028079999999999997;-0.021700999999999998;-0.00743;-0.00772875;-0.018352;-0.0349;-0.02499;-0.026676;-0.027262500000000002
-1.6999999999999997;-0.027084999999999998;-0.0216225;-0.007736666666666667;-0.008099375;-0.019236;-0.034895;-0.02502;-0.0264205;-0.02744
-1.6999999999999993;-0.026089999999999995;-0.021524375;-0.008043333333333333;-0.00847;-0.02012;-0.03489;-0.02505;-0.026165;-0.0276175
-1.6999999999999988;-0.025094999999999996;-0.02142625;-0.00835;-0.0038275;-0.021004;-0.034885;-0.025079999999999998;-0.025909500000000002;-0.027795
-1.6999999999999984;-0.024099999999999996;-0.021328125;-0.008534;-0.002899;-0.021887999999999998;-0.034881999999999996;-0.025109999999999997;-0.025654;-0.0279725
-1.6000000000000014;-0.023104999999999997;-0.02123;-0.008718;-0.0019705;-0.022772;-0.034879;-0.02514;-0.0253985;-0.02815
-1.5999999999999996;-0.022109999999999998;-0.0240325;-0.008902;-0.0010420000000000004;-0.023656;-0.034876;-0.025169999999999998;-0.025143;-0.0283275
-1.5999999999999992;-0.021115;-0.02443285714285714;-0.009086;-0.00011350000000000032;-0.02454;-0.034873;-0.0252;-0.0248875;-0.028505
-1.5999999999999988;-0.02012;-0.024833214285714285;-0.00927;0.0008149999999999998;-0.025645;-0.03487;-0.02523;-0.024461666666666666;-0.0286825
-1.5999999999999983;-0.019125;-0.025233571428571428;-0.009401428571428573;0.0014782142857142854;-0.02675;-0.034867857142857145;-0.025305;-0.024035833333333333;-0.02912625
-1.5999999999999979;-0.017466666666666665;-0.025633928571428568;-0.009532857142857143;0.002141428571428571;-0.027854999999999998;-0.034865714285714285;-0.02538;-0.02361;-0.02957
-1.5000000000000036;-0.015808333333333334;-0.02603428571428571;-0.009664285714285716;0.0028046428571428562;-0.02896;-0.03486357142857143;-0.0249945;-0.024663125;-0.028963
