;4perc/csv/4percB Specimen_RawData_6.csv;4perc/csv/4percB Specimen_RawData_3.csv;4perc/csv/4percA Specimen_RawData_5.csv;4perc/csv/4percB Specimen_RawData_1.csv;4perc/csv/4percA Specimen_RawData_3.csv;4perc/csv/4percA Specimen_RawData_1.csv;4perc/csv/4percB Specimen_RawData_5.csv;4perc/csv/4percA Specimen_RawData_6.csv;4perc/csv/4percB Specimen_RawData_2.csv;4perc/csv/4percA Specimen_RawData_4.csv;4perc/csv/4percB Specimen_RawData_4.csv;4perc/csv/4percA Specimen_RawData_2.csv
-0.3999999999999986;0.28544;;0.10388156250000001;0.19047722222222221;0.07946249999999999;0.0071920000000000005;0.255886875;0.13107666666666667;0.20942;0.09581;0.2589690625;0.04584
-0.3000000000000007;0.282845;0.20974;0.10419687500000001;0.19024527777777778;0.08292;0.007432444444444445;0.2559009375;0.13088472222222222;0.20972074074074074;0.09648904761904763;0.257861875;0.04622444444444444
-0.30000000000000016;0.28025;0.211015;0.1045121875;0.19001333333333334;0.08260392857142856;0.007672888888888889;0.255915;0.1306927777777778;0.21002148148148148;0.09716809523809525;0.2567546875;0.04660888888888889
-0.30000000000000004;0.27967333333333333;0.21229;0.1048275;0.18978138888888887;0.08228785714285713;0.007913333333333333;0.2559275;0.13050083333333334;0.21032222222222222;0.09784714285714287;0.2556475;0.04699333333333333
-0.3;0.27909666666666666;0.213565;0.10518785714285715;0.18954944444444444;0.0819717857142857;0.008153777777777777;0.25594;0.1303088888888889;0.21062296296296296;0.09852619047619048;0.2543821428571429;0.047377777777777776
-0.2999999999999994;0.27852;0.21399;0.10554821428571429;0.1893175;0.08165571428571428;0.008394222222222223;0.25595249999999997;0.13011694444444447;0.2109237037037037;0.0992052380952381;0.25311678571428575;0.04776222222222222
-0.29999999999999916;0.2779433333333333;0.214415;0.10590857142857144;0.18908555555555556;0.08133964285714285;0.008634666666666667;0.255965;0.129925;0.21122444444444444;0.09988428571428572;0.2518514285714286;0.048146666666666664
-0.29999999999999893;0.2773666666666667;0.21484;0.10626892857142857;0.18885361111111112;0.08102357142857142;0.008875111111111111;0.25597749999999997;0.12973305555555556;0.21152518518518518;0.10056333333333334;0.2505860714285714;0.04853111111111111
-0.2999999999999987;0.27679000000000004;0.215265;0.10662928571428572;0.18862166666666666;0.08070749999999999;0.009115555555555556;0.25599;0.1295411111111111;0.21182592592592592;0.10109148148148149;0.2493207142857143;0.04891555555555555
-0.2999999999999985;0.27621333333333337;0.21569;0.10698964285714285;0.18838972222222222;0.08046166666666665;0.009356;0.25600249999999997;0.12934916666666668;0.21212666666666666;0.10161962962962963;0.24805535714285715;0.0493
-0.29999999999999716;0.2756366666666667;0.216115;0.10735;0.18815777777777778;0.08021583333333332;0.01152;0.256015;0.12915722222222223;0.2124274074074074;0.10214777777777778;0.24679;0.04968444444444444
