;lard/csv/margarinSpecimen_RawData_8.csv;lard/csv/margarinSpecimen_RawData_7.csv;lard/csv/margarinSpecimen_RawData_2.csv;lard/csv/margarinSpecimen_RawData_5.csv;lard/csv/margarinSpecimen_RawData_6.csv;lard/csv/margarinSpecimen_RawData_1.csv;lard/csv/margarinSpecimen_RawData_4.csv;lard/csv/margarinSpecimen_RawData_10.csv;lard/csv/margarinSpecimen_RawData_9.csv;lard/csv/margarinSpecimen_RawData_3.csv
-1.5700000000000003;0.22793;0.24411;0.18179;0.19184;0.2214;0.17511;0.20956;0.26626;0.25529;0.19893
-1.5600000000000005;0.23415;0.24973;0.18456;0.18758;0.22569;0.17436;0.19804;0.25881;0.25364;0.2001
-1.5500000000000007;0.23586;0.25312;0.183;0.19314;0.23316;0.17844;0.19394;0.25423;0.24834;0.19425
-1.540000000000001;0.23105;0.25382;0.18486;0.20524;0.22958;0.18466;0.198405;0.25621;0.24659;0.19106
-1.5399999999999991;0.229215;0.25261;0.18672;0.211595;0.22859000000000002;0.18136999999999998;0.20287;0.256245;0.24484;0.18787
-1.5300000000000011;0.22738;0.2514;0.18619;0.21795;0.2276;0.17808;0.20573;0.25628;0.24777;0.18953
-1.5299999999999994;0.22884666666666667;0.25019;0.18566;0.22236;0.223175;0.17750333333333332;0.20859;0.257685;0.2507;0.19119
-1.5200000000000014;0.23031333333333334;0.25005;0.18613;0.22677;0.21875;0.17692666666666668;0.210495;0.25909;0.252795;0.190845
-1.5199999999999996;0.23178;0.24991;0.1866;0.22359;0.21552;0.17635;0.2124;0.26058;0.25489;0.1905
-1.5100000000000016;0.23408;0.248485;0.1884;0.22041;0.21229;0.177535;0.211185;0.26207;0.25497000000000003;0.18946000000000002
-1.5099999999999998;0.23638;0.24706;0.1902;0.21448;0.20996;0.17872;0.20997;0.26356;0.25505;0.18842
-1.5;0.23786;0.23912;0.19134;0.20855;0.20763;0.18305;0.20705;0.26385;0.25335;0.18973
-1.4999999999999998;0.2390375;0.23779;0.189915;0.2063875;0.2058375;0.1817475;0.20638499999999999;0.264475;0.25151500000000004;0.190845
-1.4999999999999996;0.240215;0.237125;0.18849;0.204225;0.204045;0.180445;0.20605249999999997;0.2651;0.24968;0.19140249999999998
-1.4900000000000002;0.24257;0.23646;0.18564;0.1999;0.20046;0.17784;0.20572;0.26635;0.24601;0.19196
-1.4800000000000004;0.24318;0.23996;0.1822;0.20287;0.19406;0.16783;0.21152;0.26879;0.24241;0.19857
-1.4700000000000006;0.24171;0.23994;0.17604;0.2031;0.20083;0.16083;0.20968;0.27424;0.24273;0.20566
-1.4600000000000009;0.24;0.23776;0.17243999999999998;0.20504;0.20794;0.16215;0.20893;0.26931;0.24536;0.20761000000000002
-1.459999999999999;0.23951;0.23625333333333334;0.16884;0.20817;0.210595;0.16071999999999997;0.20818;0.26819;0.24799;0.20956
-1.450000000000001;0.23902;0.23474666666666666;0.16466999999999998;0.2113;0.21325;0.15929;0.204455;0.26707;0.249045;0.21093
-1.4499999999999993;0.23953000000000002;0.23324;0.1605;0.20954;0.217165;0.16043333333333332;0.20073;0.26727;0.2501;0.2123
-1.4400000000000013;0.24004;0.233165;0.15921000000000002;0.20778;0.22108;0.16157666666666667;0.19815;0.26747;0.25221;0.210395
-1.4399999999999995;0.24055;0.23309;0.15792;0.20634;0.22351500000000002;0.16272;0.19557;0.27044999999999997;0.25432;0.20849
-1.4300000000000015;0.24355500000000002;0.23554999999999998;0.15990500000000002;0.2049;0.22595;0.165225;0.19499;0.27343;0.25378999999999996;0.20307
-1.4299999999999997;0.24656;0.23801;0.16189;0.20367000000000002;0.229535;0.16773;0.19441;0.27436499999999997;0.25326;0.19765
-1.42;0.24743;0.2432;0.1718;0.20244;0.23312;0.17208;0.19354;0.2753;0.25384;0.19297
-1.4100000000000001;0.24222;0.24243;0.17988;0.20855;0.23345;0.17661;0.19768;0.27387;0.24912;0.18388
-1.4000000000000004;0.23716;0.2347;0.18784;0.21729;0.23359;0.18288;0.19727;0.27466;0.24253;0.17975
-1.3999999999999997;0.237205;0.23679499999999998;0.1880225;0.21940500000000002;0.23308249999999997;0.1833425;0.19925500000000002;0.27523000000000003;0.24362;0.17951499999999998
-1.3999999999999995;0.23725000000000002;0.23784249999999998;0.188205;0.22152;0.23257499999999998;0.183805;0.20024750000000002;0.27580000000000005;0.24470999999999998;0.1793975
-1.3900000000000006;0.23734;0.23889;0.18857;0.22575;0.23156;0.18473;0.20124;0.27694;0.24689;0.17928
-1.3800000000000008;0.2387;0.25381;0.18825;0.22535;0.23042;0.18256;0.203315;0.28164;0.25197;0.18118
-1.379999999999999;0.23452;0.25448666666666664;0.18857;0.226295;0.231305;0.180415;0.20539;0.28145;0.25377333333333335;0.18308
-1.370000000000001;0.23034;0.25516333333333335;0.18889;0.22724;0.23219;0.17827;0.20715499999999998;0.28126;0.2555766666666667;0.189475
-1.3699999999999992;0.230935;0.25584;0.18921;0.227375;0.229225;0.180645;0.20892;0.278225;0.25738;0.19587
-1.3600000000000012;0.23153;0.252675;0.18850499999999998;0.22751;0.22626;0.18302;0.20804;0.27519;0.25888;0.199415
-1.3599999999999994;0.23110333333333336;0.24951;0.1878;0.228505;0.223815;0.18018666666666666;0.20716;0.2711;0.26038;0.20296
-1.3500000000000014;0.23067666666666667;0.24693;0.18395499999999998;0.2295;0.22137;0.17735333333333334;0.205995;0.26701;0.25886;0.204685
-1.3499999999999996;0.23025;0.24435;0.18011;0.226575;0.219345;0.17452;0.20483;0.2650366666666667;0.25734;0.20641
-1.3400000000000016;0.23330499999999998;0.23913;0.17987;0.22365;0.21732;0.17080499999999998;0.204415;0.2630633333333333;0.26016;0.20839000000000002
-1.3399999999999999;0.23636;0.23391;0.17963;0.218285;0.21629;0.16709;0.204;0.26109;0.26298;0.21037
-1.33;0.23541;0.22754;0.18289;0.21292;0.21526;0.16788;0.19676;0.26104;0.26816;0.21965
-1.3200000000000003;0.2301;0.2256;0.18278;0.20838;0.21438;0.17474;0.18677;0.26497;0.27227;0.22686
-1.3100000000000005;0.22742;0.22764;0.17528;0.20822;0.21558;0.17751;0.18569;0.2637;0.26717;0.22128
-1.3000000000000007;0.22833;0.2266;0.16552;0.21179;0.2196;0.17453;0.19774;0.26148;0.25478;0.21159
-1.2999999999999996;0.2292275;0.22804;0.1661025;0.2093025;0.22085;0.17420249999999998;0.20261;0.262135;0.25181;0.20965499999999998
-1.2999999999999994;0.230125;0.22876;0.166685;0.206815;0.2221;0.173875;0.20423333333333335;0.26278999999999997;0.24884;0.20900999999999997
-1.290000000000001;0.23192;0.22948;0.1672675;0.20184;0.2246;0.17322;0.20585666666666666;0.2641;0.24587;0.208365
-1.2899999999999991;0.23218499999999997;0.23111333333333334;0.16785;0.19875500000000001;0.228795;0.17536000000000002;0.20748;0.263475;0.2429;0.20772
-1.2800000000000011;0.23245;0.23274666666666666;0.16898000000000002;0.19567;0.23299;0.1775;0.207095;0.26285;0.23964000000000002;0.202075
-1.2799999999999994;0.23350666666666667;0.23438;0.17011;0.198435;0.234545;0.17933333333333332;0.20671;0.25898;0.23638;0.19643
-1.2700000000000014;0.23456333333333332;0.234015;0.16996;0.2012;0.2361;0.18116666666666667;0.20549499999999998;0.25511;0.235;0.193865
-1.2699999999999996;0.23562;0.23365;0.16981;0.206235;0.23274;0.183;0.20428;0.25597333333333333;0.23362;0.1913
-1.2600000000000016;0.23454999999999998;0.23613499999999998;0.170255;0.21127;0.22938;0.17938500000000002;0.202235;0.25683666666666666;0.235115;0.18867
-1.2599999999999998;0.23348;0.23862;0.1707;0.21369500000000002;0.22623;0.17577;0.20019;0.2577;0.23661;0.18604
-1.25;0.23243;0.23713;0.17315;0.21612;0.22308;0.17497;0.20373;0.25774;0.24499;0.19436
-1.2400000000000002;0.23306;0.23509;0.18313;0.22337;0.22206;0.18101;0.20619;0.26342;0.25492;0.20822
-1.2300000000000004;0.23443;0.23628;0.19202;0.22445;0.22825;0.18735;0.20501;0.26823;0.25499;0.21061
-1.2200000000000006;0.22978;0.23918;0.19095;0.22339;0.22603;0.18779;0.20522;0.26945;0.24873;0.20666
-1.2100000000000009;0.23274;0.24078;0.18825;0.2188;0.22341;0.18328;0.204515;0.2717;0.244205;0.20244
-1.209999999999999;0.238315;0.24244166666666667;0.18555;0.219345;0.22036;0.1852;0.20381;0.267355;0.23968;0.19822
-1.200000000000001;0.24389;0.2441033333333333;0.18521333333333334;0.21989;0.21731;0.18712;0.203515;0.26301;0.23974666666666666;0.1969175
-1.1999999999999995;0.2443;0.24576499999999998;0.18487666666666666;0.220955;0.215305;0.18748;0.20322;0.26183750000000006;0.23981333333333335;0.19561499999999998
-1.1999999999999993;0.24470999999999998;0.25075;0.18454;0.22202;0.2133;0.18784;0.20263;0.26066500000000004;0.23988;0.19301
-1.1900000000000013;0.24512;0.251055;0.18518;0.22415;0.20929;0.1882;0.201565;0.25832;0.243395;0.191795
-1.1899999999999995;0.24553;0.25136;0.18582;0.22492;0.21132;0.18856;0.2005;0.255785;0.24691;0.19058
-1.1800000000000015;0.241655;0.24953999999999998;0.18049500000000002;0.22569;0.21335;0.18856;0.20091;0.25325;0.24762499999999998;0.190405
-1.1799999999999997;0.23778;0.24772;0.17517;0.22039;0.21792;0.18856;0.20132;0.25333;0.24834;0.19023
-1.17;0.22982;0.23732;0.17093;0.21509;0.22249;0.1867;0.20348;0.25341;0.25509;0.18346
-1.1600000000000001;0.22256;0.22883;0.17519;0.20841;0.22929;0.18295;0.21437;0.24464;0.26267;0.17729
-1.1500000000000004;0.22;0.2253;0.17724;0.2149;0.23916;0.17581;0.2197;0.2404;0.26283;0.18116
-1.1400000000000006;0.22844;0.22023;0.18014;0.22048;0.2373;0.17536;0.2195;0.24043;0.26121;0.18773
-1.1300000000000008;0.24314;0.22188;0.18393;0.22267;0.22923;0.17456;0.21655000000000002;0.24178;0.25554;0.190285
-1.129999999999999;0.24725999999999998;0.22332;0.18473666666666666;0.22282000000000002;0.224955;0.174735;0.2136;0.24519;0.25271333333333335;0.19284
-1.120000000000001;0.25138;0.22476000000000002;0.18554333333333334;0.22297;0.22068;0.17491;0.21043;0.2486;0.24988666666666667;0.19676
-1.1199999999999992;0.253575;0.2262;0.18635;0.21769;0.21789;0.17718;0.20726;0.253685;0.24706;0.20068
-1.1100000000000012;0.25577;0.22695500000000002;0.183195;0.21241;0.2151;0.17945;0.207265;0.25877;0.24468499999999999;0.205645
-1.1099999999999994;0.25559333333333334;0.22771;0.18004;0.21043499999999998;0.217565;0.17935;0.20727;0.26202000000000003;0.24231;0.21061
-1.1000000000000014;0.2554166666666667;0.226815;0.17864000000000002;0.20846;0.22003;0.17925;0.21100000000000002;0.26527;0.24124;0.21394
-1.0999999999999996;0.25524;0.22592;0.17724;0.20828;0.21919666666666668;0.17915;0.21473;0.26599333333333336;0.24017;0.21727
-1.0999999999999994;0.25477;0.22692;0.17681000000000002;0.2081;0.21836333333333333;0.179155;0.214585;0.26671666666666666;0.23983749999999998;0.21851500000000001
-1.0999999999999992;0.25429999999999997;0.22725333333333333;0.17638;0.20792;0.21753;0.17915999999999999;0.21453666666666665;0.26744;0.239505;0.21893
-1.0900000000000016;0.25383;0.2275866666666667;0.17595;0.20738;0.21503;0.179165;0.21448833333333334;0.268525;0.2391725;0.219345
-1.0899999999999999;0.25336;0.22792;0.17552;0.2047;0.21437499999999998;0.17917;0.21444;0.26961;0.23884;0.21976
-1.08;0.25207;0.23225;0.17803;0.20202;0.21372;0.18392;0.21065;0.2704;0.24035;0.21841
-1.0700000000000003;0.24785;0.23416;0.17752;0.20771;0.21142;0.18385;0.20753;0.26129;0.23938;0.21721
-1.0600000000000005;0.2472;0.23406;0.17399;0.2181;0.2132;0.18552;0.20297;0.25324;0.24057;0.21516
-1.0500000000000007;0.24877;0.23442;0.17653;0.22219;0.21141;0.1769;0.20333;0.25079;0.24427;0.21091
-1.040000000000001;0.24739;0.23394;0.180255;0.21414;0.21769;0.16649;0.209565;0.25167;0.24821;0.20788
-1.0399999999999991;0.24735000000000001;0.23298333333333335;0.18398;0.209535;0.21789999999999998;0.16565000000000002;0.2158;0.25163;0.25215;0.20485
-1.0300000000000011;0.24731;0.23202666666666666;0.18399;0.20493;0.21811;0.16481;0.21819;0.25159;0.254175;0.202355
-1.0299999999999994;0.24834666666666666;0.23107;0.184;0.204725;0.217675;0.16771666666666668;0.22058;0.252625;0.2562;0.19986
-1.0200000000000014;0.24938333333333332;0.23116;0.183725;0.20452;0.21724;0.17062333333333332;0.21944;0.25366;0.25453;0.198125
-1.0199999999999996;0.25042;0.23125;0.18345;0.20346999999999998;0.216465;0.17353;0.2183;0.25504;0.25286;0.19639
-1.0100000000000016;0.24862499999999998;0.23011500000000001;0.18263000000000001;0.20242;0.21569;0.176755;0.216915;0.25642;0.25092;0.197565
-1.0099999999999998;0.24683;0.22898;0.18181;0.20296999999999998;0.21587499999999998;0.17998;0.21553;0.2578;0.24898;0.19874
-1.0;0.24265;0.22125;0.17849;0.20352;0.21606;0.17368;0.21403;0.26784;0.24236;0.20354
-0.9999999999999993;0.240815;0.22231;0.18001250000000002;0.20538250000000002;0.21664;0.1713975;0.214395;0.268635;0.24131249999999999;0.206755
-0.9999999999999991;0.23898;0.22284;0.181535;0.207245;0.21722;0.16911500000000002;0.2145775;0.26943;0.240265;0.2083625
-0.9900000000000002;0.23531;0.22337;0.18458;0.21097;0.21838;0.16455;0.21476;0.27102;0.23817;0.20997
-0.9800000000000004;0.23175;0.22881;0.18273;0.21826;0.22459;0.16042;0.21539;0.27119;0.23783;0.21531
-0.9700000000000006;0.23403;0.23495;0.18332;0.21964;0.23242;0.16721;0.21371;0.27378;0.23584;0.21154
-0.9600000000000009;0.23769;0.23845;0.18382500000000002;0.22013;0.23315;0.1778;0.2111;0.27834;0.236715;0.206985
-0.9599999999999991;0.24022;0.23779999999999998;0.18433;0.2212;0.22971999999999998;0.1817;0.20849;0.276385;0.23759;0.20243
-0.9500000000000011;0.24275;0.23715;0.18846000000000002;0.22227;0.22629;0.1856;0.207355;0.27443;0.23476999999999998;0.199605
-0.9499999999999993;0.24200333333333332;0.2365;0.19259;0.22344999999999998;0.22553499999999999;0.18547;0.20622;0.27196;0.23195;0.19678
-0.9400000000000013;0.24125666666666667;0.235725;0.19412000000000001;0.22463;0.22478;0.18534;0.205075;0.26949;0.23221;0.192635
-0.9399999999999995;0.24051;0.23495;0.19565;0.22303;0.22357500000000002;0.18521;0.20393;0.26434;0.23247;0.18849
-0.9300000000000015;0.23895;0.2349;0.19577;0.22143;0.22237;0.183485;0.20557999999999998;0.25919;0.2338;0.186965
-0.9299999999999997;0.23739;0.23485;0.19589;0.21558;0.218985;0.18176;0.20723;0.258155;0.23513;0.18544
-0.9199999999999999;0.22932;0.23675;0.18975;0.20973;0.2156;0.16774;0.20645;0.25712;0.24395;0.18466
-0.9100000000000001;0.22878;0.235;0.18713;0.19769;0.21214;0.16396;0.21418;0.26289;0.25349;0.19049
-0.9000000000000004;0.22811;0.23897;0.18334;0.19638;0.2104;0.16834;0.2155;0.26598;0.26546;0.19956
-0.8999999999999992;0.2291475;0.24229;0.1830775;0.1979225;0.2117975;0.17053249999999998;0.21184999999999998;0.26603;0.26568249999999993;0.2041
-0.899999999999999;0.230185;0.24395;0.182815;0.199465;0.213195;0.172725;0.210025;0.26608;0.26590499999999995;0.20637
-0.8900000000000006;0.23226;0.24561;0.18229;0.20255;0.21599;0.17711;0.2082;0.26618;0.26635;0.20864
-0.8800000000000008;0.23766;0.24675;0.1897;0.20945;0.22199;0.18081;0.20371;0.26203;0.2577;0.21331499999999998
-0.879999999999999;0.23877500000000002;0.24545333333333333;0.19214;0.2113;0.22403499999999998;0.17937;0.19922;0.262375;0.25711666666666666;0.21799
-0.870000000000001;0.23989;0.24415666666666666;0.19458;0.21315;0.22608;0.17793;0.198025;0.26272;0.25653333333333334;0.21848499999999998
-0.8699999999999992;0.24007499999999998;0.24286;0.19702;0.21517;0.224945;0.17661500000000002;0.19683;0.26127;0.25595;0.21898
-0.8600000000000012;0.24026;0.23836000000000002;0.19816;0.21719;0.22381;0.1753;0.197975;0.25982;0.25378;0.218895
-0.8599999999999994;0.24026;0.23386;0.1993;0.21306999999999998;0.221935;0.17591666666666667;0.19912;0.2594633333333333;0.25161;0.21881
-0.8500000000000014;0.24026;0.229965;0.196555;0.20895;0.22006;0.17653333333333335;0.198785;0.25910666666666665;0.25346;0.215215
-0.8499999999999996;0.24026;0.22607;0.19381;0.20265;0.221655;0.17715;0.19845;0.25875;0.25531;0.21162
-0.8400000000000016;0.23712;0.22241;0.19221500000000002;0.19635;0.22325;0.179745;0.197595;0.26097;0.25678999999999996;0.20440999999999998
-0.8399999999999999;0.23398;0.21875;0.19062;0.197415;0.223895;0.18234;0.19674;0.264205;0.25827;0.1972
-0.8300000000000001;0.22645;0.22148;0.18493;0.19848;0.22454;0.1839;0.19578;0.26744;0.26234;0.19248
-0.8200000000000003;0.2243;0.21751;0.18466;0.20505;0.22161;0.17941;0.1995;0.26665;0.26082;0.19069
-0.8100000000000005;0.22447;0.21905;0.18203;0.2067;0.22035;0.17084;0.20078;0.26211;0.25575;0.18722
-0.8000000000000007;0.23298;0.23018;0.17963333333333334;0.20927;0.22121;0.1678;0.20223;0.26185;0.2550133333333333;0.18735
-0.7999999999999992;0.2360875;0.23282999999999998;0.17723666666666665;0.20898250000000002;0.2225025;0.1691525;0.20158500000000001;0.2619075;0.25427666666666665;0.190015
-0.7999999999999989;0.239195;0.234155;0.17484;0.20869500000000002;0.223795;0.17050500000000002;0.20137000000000002;0.261965;0.25354;0.1909033333333333
-0.7900000000000009;0.24541;0.23548;0.1743;0.20812;0.22638;0.17321;0.201155;0.26208;0.24898;0.19179166666666667
-0.7899999999999991;0.24745999999999999;0.23556666666666667;0.17418666666666668;0.21306999999999998;0.22877999999999998;0.17691666666666667;0.20094;0.25934;0.24819;0.19268
